91,Shelley  Buchbinder,CUNY - Graduate Center,0,0
92,Nora  Nafaa,University of Perpignan,42.6886591,2.8948332
93,Ashley  Coles,Georgia Southern University,32.4207638,-81.77357529999999
94,Catherine  King,NYU,35.712815,135.9711705
95,Christopher  Fuhriman,University of Utah,33.4249307,-111.8884532
96,Michael  Goldman,,0,0
97,Virginia  Maclaren,UNIVERSITY OF TORONTO,43.659598,-79.3947916
98,Richard A. Walker,University of California-Berkeley,37.8764984,-122.2804342
99,Caroline  Desbiens,Universite Laval,50.431086,-104.555701
100,Rolfe  Mandel,University of Kansas,38.8991444,-94.72548929999999
101,Ayona  Datta,University of Leeds,28.0637104,-82.4315563
102,Joshua M. Akers,University of Michigan-Dearborn,42.320138,-83.230993
103,Nuria  Del Viso,Fuhem Ecosocial,0,0
104,Ian  Shuttleworth,,0,0
105,Ann  El Khoury,Macquarie University,-32.922419,151.6514195
106,Jongwon  Lee,Ewha Womans University,0,0
107,Amy  McCullough,University of Texas - Austin,30.2858682,-97.73565429999999
108,Monica  Rother,Tall Timbers Research Station & Land Conservancy,0,0
109,Jizhe  Xia,,0,0
110,Neil Michael Manspeizer,Tip-Top Energy, Ltd.,0,0
111,Walter  Powell,Stanford University,33.6518297,-117.8389422
112,MARGARET  KING,CHICAGO STATE UNIVERSITY,41.8582045,-87.62715
113,Zahra  Hamidi,,0,0
114,Caroline  Nagel,University of South Carolina,39.70935739999999,-104.9444815
115,Erin  McElroy,University of California - Santa Cruz,33.981043,-117.3163115
116,Dana  Holtby,Carleton University,45.3830819,-75.698312
117,Matthew Ryan Cartlidge,Prince William County Public Schools,38.8503074,-77.2653301
118,Conrad Christiaan Kickert,University of Cincinnati,31.7801651,-106.4981503
119,Marijn  Nieuwenhuis,University of Warwick, PAIS/ SOAS,0,0
120,Tommy  Patterson,UNC-Greensboro,0,0
121,Charles  Rynerson,Portland State University,45.513099,-122.6885447
122,Douglas L. Johnson,Clark University,28.0790604,-82.4874804
123,Jessie  Speer,,0,0
124,Karen Lee Russ,Department of Geography, University of Wisconsin-Madison,0,0
125,Melanie  Armstrong,Western State Colorado Univers,40.5747751,-105.0807072
126,Carol  Hunsberger,University of Western Ontario,43.4570369,-80.5394907
127,Lisa M. Butler Harrington,Kansas State University,37.7730018,-100.0044056
128,Emma  Mawdsley,University of Cambridge,52.20166709999999,0.1177882
129,Todd  Ellis,WWU,48.7268106,-122.4885514
130,Tyler  Harlan,University of California, Los Angeles,34.0400757,-118.2551016
131,John  Holmes,Queen's University,40.7282239,-73.7948516
132,Ramesh C. Dhussa,Drake University,33.7020401,-117.7636156
133,Stephen  Healy,University of Western Sydney, Institute for Culture and Society,0,0
134,Kris  Bezdecny,Wright State University - Dayton, OH,39.7875367,-84.0651383
135,Lei  Zou,Louisiana State University,31.74039,-93.127179
136,Ola  Ahlqvist,The Ohio State University,39.9993865,-83.0227103
137,Guangwen  Song,,0,0
138,Carlo E. Sica,Syracuse University,64.8432475,-147.8628983
139,Dawn  Hawley,NORTHERN ARIZONA UNIVERSITY,34.4974836,-114.3412464
140,Luke  Craven,University of Sydney,-33.8628753,151.1598462
141,Fiona M. Davidson,University Of Arkansas,35.4747303,-93.4673475
142,Adriana E. Martinez,Southern Illinois University Edwardsvile,0,0
143,Rachael  Baker,York University,43.776279,-79.500519
144,Jacek  Kotus,Adam Mickiewicz University,0,0
145,Kathleen A. Farley,San Diego State University,32.7279087,-117.1689358
146,Alice  Huff,,0,0
147,Nicholas A. Perdue,University of Oregon,33.4239891,-111.8867174
148,Jarmo  Kortelainen,University Of Eastern Finland,0,0
149,L Jesse  Rouse,UNC Pembroke,34.227596,-77.82393800000001
150,Samantha M. Jones,Bemidji State University,47.4877,-94.8797
151,Xiaoqiang  Cheng,,0,0
152,Melanie  Malone,Portland State University,45.513099,-122.6885447
153,Kim André  Vanselow,,0,0
154,Luke Richard Barnesmoore,University of British Columbia,43.631679,-79.427313
155,Takashi  Yamazaki,Osaka City University,34.6937378,135.5021651
156,Kent  Mathewson,Louisiana State University,31.74039,-93.127179
157,Julie  Cidell,University of Illinois,33.4244796,-111.8855555
158,Paul  Salze,Université Paris Est - Labex Futurs Urbains,0,0
159,Nasser  Abourahme,Columbia University,33.6520436,-117.8286548
160,Marta  Jankowska,University of California San Diego,32.8672005,-117.2295308
161,Anne  Short,Boston University,42.3518484,-71.1107301
162,Kevin  Manaugh,McGill University,49.7975879,-97.1465173
163,Solange Isabel Munoz,University of Michigan,42.320138,-83.230993
164,Veli-Pekka  Tynkkynen,University of Helsinki,60.16985569999999,24.938379
165,Sam  Page,UCL, Dept of Geography,0,0
166,Chris  Ling,Royal Roads Unviversity,33.99950010000001,71.4948067
167,Aaron  Teets,University of Maine,44.3396962,-69.7951875
168,Erin Marie Torkelson,University of California Berkeley,37.8764984,-122.2804342
169,Elena  Dell'Agnese,Università Di Milano-Bicocca,0,0
170,Siobhán  Mcphee,University of British Columbia,43.631679,-79.427313
171,Michael  Dobbins,University of Florida,28.0735403,-82.43735889999999
172,Nicholas  Blomley,Simon Fraser University,0,0
173,Nicholas Christopher Funari,Texas State University - San Marcos,0,0
174,Wuyang  Cai,,0,0
175,Astrid  Schrader,University of Exeter,33.6508563,-117.8296666
176,Isabel  Urrutia,University of Toronto,43.659598,-79.3947916
177,Clare Marie Beer,University of California - Los Angeles,34.0400757,-118.2551016
178,Scotty  Strachan,University of Nevada, Reno,39.5440732,-119.8145014
179,Tahereh  Aghdasifar,,0,0
180,Galen  Murton,University of Colorado, Boulder,40.0077396,-105.2555329
181,Paulina  López Gutiérrez,,0,0
182,Chung-Tong  Wu,Western Sydney University,44.9794724,-93.23443039999999
183,Janet  Merkel,City University London Department of Music, Culture and Creative Industries,0,0
184,Danny  Bednar,Western University,33.2182401,-96.68111309999999
185,Gabriela  Valdivia,University of North Carolina - Chapel Hill,35.7889571,-78.72114499999999
186,Shawhin  Roudbari,University of Colorado - Boulder, CO,40.0077396,-105.2555329
187,Colin  Robertson,Wilfrid Laurier University,43.51908,-80.23027429999999
188,Sigismond Ayodele Wilson,Rogers State University,29.2420177,-81.0411603
189,Asher  Siebert,Princeton University,40.3492867,-74.6582332
190,Mark  Wheeler,,0,0
191,Erik Steven Breidinger,,0,0
192,Daniel  Goldberg,Texas A&M University,29.7058082,-95.4062268
193,Karin  Fast,Karlstad University,59.4021806,13.5114977
194,Ziying  Jiang,Miami University,39.5105848,-84.73161089999999
195,Stephen  Bottoms,University of Manchester - Manchester,53.4697751,-2.2171265
196,Jacob  Shell,Temple University,39.980825,-75.1495788
197,Geoffrey Andrew Battista,McGill University,49.7975879,-97.1465173
198,Alberta M. Sbragia,University of Pittsburgh,14.6286561,121.0597569
199,Elyse  Zavar,Southern Connecticut State University,41.3358679,-72.9419273
200,Karen  O'Brien,University of Oslo,14.6712421,121.0936889
201,Alan A. Lew,Northern Arizona University,34.4974836,-114.3412464
202,James  Angel,King's College London,51.5119334,-0.1164836
203,Melissa R. Gilbert,Temple University,39.980825,-75.1495788
204,Paul B. Frederic,University of Maine,44.3396962,-69.7951875
205,Susan M. Roberts,University Of Kentucky,29.7105856,-95.11790479999999
206,Michael J. Widener,University of Toronto,43.659598,-79.3947916
207,Therese  Rudebeck,University of Cambridge,52.20166709999999,0.1177882
208,Hildegardo  Córdova-Aguilar,Pontificia Universidad Catolica Del Peru,-12.0728254,-77.0788263
209,Brett J. Lucas,City of Cheney, WA,0,0
210,Mike  Crang,Durham University,37.2316582,-80.42361029999999
211,Warner  De Gooijer,Cisco Global Operations,0,0
212,Monica M. Brannon,Bowdoin College,38.9771558,-76.9292859
213,Sumalika  Biswas,University of Maryland - College Park,38.97996699999999,-76.9232562
